site,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10
BlueHole,232,221,205,214,207,204,214,221,230,238,240,237,234,222,215,215,201,210,224,232,238,245,250,247,242,233,222,215,211,212,220,229,238,241,245,246,235,231,226,219,210,209,217,232,237,246,245,244,239
HaupuSummit,250,236,220,231,224,219,230,238,251,256,258,255,252,242,234,235,220,228,243,251,258,264,270,268,261,253,241,233,229,230,240,248,257,261,266,267,256,249,245,237,229,227,235,249,254,262,262,261,255
Kanaele,244,231,216,226,219,214,225,232,244,251,252,249,247,236,228,229,214,222,237,245,252,258,264,262,255,246,235,227,223,224,234,242,251,255,259,260,249,243,239,232,223,221,230,244,249,257,257,256,250
Laauhihaihai,253,239,222,233,227,221,233,240,254,259,261,258,255,245,237,238,223,230,245,254,261,267,273,272,264,256,244,236,232,233,243,251,260,264,269,270,259,252,248,240,232,230,238,252,257,265,265,264,258
LowerHaupu,273,255,239,251,245,238,250,258,277,279,281,277,275,267,257,260,243,250,265,274,282,288,295,295,284,277,265,256,252,253,265,272,282,286,291,293,283,272,269,260,253,249,258,270,276,282,283,282,275
LowerLimahuli,281,262,245,258,253,244,258,265,286,287,288,285,284,275,265,269,252,258,273,282,290,296,304,304,292,285,273,264,260,261,273,280,291,295,300,303,292,280,277,268,261,257,266,277,283,289,290,290,282
Makaleha,248,234,218,229,222,217,228,235,248,254,256,252,250,239,231,233,217,225,240,248,255,261,268,266,258,250,239,231,227,228,237,245,255,258,263,264,253,247,242,235,227,224,233,247,252,260,260,259,253
McBryde,286,266,249,263,258,248,262,269,292,292,293,290,289,281,270,274,257,263,278,287,295,301,310,310,298,291,278,269,265,266,279,285,296,300,306,308,298,285,282,274,267,262,271,282,288,294,295,294,287
Nounou,274,256,239,251,246,238,251,258,278,279,281,278,276,267,258,261,244,250,266,275,282,288,296,295,285,277,265,256,252,253,265,272,283,286,292,294,283,273,269,261,254,250,259,270,276,283,284,283,276
PuuKolo,255,240,224,235,228,223,234,241,256,261,262,259,257,247,238,240,224,232,247,255,262,268,275,273,265,257,246,238,233,234,245,252,262,266,271,272,261,254,249,242,234,231,240,253,258,266,266,265,259
UpperLimahuli,227,217,202,211,203,200,210,217,225,234,236,232,229,217,210,210,196,205,220,228,234,240,245,242,237,228,217,210,206,207,215,224,233,236,240,240,230,226,221,214,206,204,212,228,233,242,241,240,236
