site,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10
BlueHole,196,184,163,170,164,166,177,181,195,203,206,203,200,187,174,170,158,164,183,192,204,211,215,214,206,199,189,180,171,175,183,191,199,203,205,205,199,193,188,182,173,174,178,193,199,208,206,206,201
HaupuSummit,215,201,180,189,183,184,196,200,215,224,226,222,220,207,194,189,176,183,202,211,224,230,234,235,225,218,208,199,190,194,202,210,220,223,227,226,219,213,206,200,192,193,196,211,217,226,225,224,219
Kanaele,209,196,174,183,177,178,190,194,209,217,220,216,214,201,188,183,170,177,196,205,217,224,228,228,219,212,202,193,184,188,196,204,214,217,220,220,213,207,201,195,186,187,191,206,211,220,219,218,213
Laauhihaihai,218,204,182,192,186,187,199,203,218,227,229,225,223,211,197,192,179,186,205,213,227,233,237,238,228,220,211,201,193,196,204,213,223,226,230,230,222,216,209,203,195,196,199,214,220,229,227,227,221
LowerHaupu,239,223,200,212,206,206,220,224,240,249,250,246,244,233,219,213,199,206,226,234,248,255,258,261,249,240,232,221,213,216,224,233,246,249,253,253,245,237,229,223,214,215,219,233,240,248,247,246,240
LowerLimahuli,247,231,207,220,214,214,228,232,249,258,259,255,252,242,228,222,207,214,234,242,257,263,267,270,257,248,240,229,222,224,233,241,255,258,263,263,254,246,237,231,222,223,227,241,248,255,255,254,247
Makaleha,212,199,177,187,180,182,194,197,213,221,223,220,217,205,191,187,174,181,200,208,221,228,232,232,223,215,206,196,188,191,199,207,217,221,224,223,217,210,204,198,189,190,194,209,215,224,222,222,216
McBryde,252,236,212,225,219,219,233,237,255,263,265,260,258,248,234,227,212,219,239,247,262,269,272,275,262,253,245,234,227,229,238,246,261,263,269,269,259,251,242,236,227,228,232,246,252,260,260,259,252
Nounou,239,224,201,213,206,207,220,224,241,249,251,247,244,234,220,214,199,207,226,234,249,255,259,261,249,240,232,222,214,217,225,233,246,249,254,254,245,238,229,224,215,216,220,234,240,248,248,246,240
PuuKolo,219,206,183,193,187,188,201,204,220,228,231,227,224,212,199,194,180,187,207,215,228,235,239,240,230,222,213,203,195,198,206,214,225,228,232,231,224,218,211,205,196,197,201,215,221,230,229,228,223
UpperLimahuli,191,179,159,166,160,161,173,176,190,199,201,198,196,182,169,165,153,160,179,187,199,206,210,209,202,195,185,176,167,171,178,187,194,198,200,199,194,189,184,177,169,170,173,189,195,204,202,202,197
